month,month_name,falcon_instance,functional_domain,environment,cluster,avg_cpu,node_count,avg_pod_count,efficiency_indicator
2025-05,May,aws-prod2-apsouth1,core1,prod,sam-processing2,65.76,5887,34.15,Moderately Efficient
2025-05,May,aws-prod20-ilcentral1,core1,prod,sam-processing1,78.12,144,72.41,Moderately Efficient
2025-05,May,aws-prod21-useast2,core1,prod,sam-processing1,80.31,6275,51.36,Efficient
2025-05,May,aws-prod21-useast2,core1,prod,sam-processing2,69.64,6364,33.95,Moderately Efficient
2025-05,May,aws-prod22-apnortheast3,core1,prod,sam-processing-sc1,50.81,545,32.83,Moderately Efficient
2025-05,May,aws-prod22-apnortheast3,core1,prod,sam-processing-sc2,47.04,558,33.11,Inefficient
2025-05,May,aws-prod22-apnortheast3,core1,prod,sam-processing-sc3,40.35,222,34.22,Inefficient
2025-05,May,aws-prod22-apnortheast3,core1,prod,sam-processing-sc5,40.86,236,34.2,Inefficient
2025-05,May,aws-prod22-apnortheast3,core1,prod,sam-processing1,80.06,217,109.82,Efficient
2025-05,May,aws-prod24-apsouth2,core1,prod,sam-processing-sc1,42.09,321,35.72,Inefficient
2025-05,May,aws-prod24-apsouth2,core1,prod,sam-processing-sc3,36.4,189,40.49,Inefficient
2025-05,May,aws-prod24-apsouth2,core1,prod,sam-processing1,75.71,73,102.34,Moderately Efficient
2025-05,May,aws-prod3-eucentral1,core1,prod,sam-processing1,78.66,6669,48.05,Moderately Efficient
2025-05,May,aws-prod3-eucentral1,core1,prod,sam-processing2,46.36,1268,31.01,Inefficient
2025-05,May,aws-prod4-apsoutheast2,core1,prod,sam-processing1,81.83,3043,49.6,Efficient
2025-05,May,aws-prod8-cacentral1,core1,prod,sam-processing1,82.47,1952,50.82,Efficient
2025-05,May,aws-prod9-apnortheast1,core1,prod,sam-processing1,82.49,3232,47.17,Efficient
2025-05,May,aws-stage1-useast2,core1,staging,sam-processing-sc1,27.33,264,40.84,Inefficient
2025-05,May,aws-stage1-useast2,core1,staging,sam-processing1,73.85,478,81.78,Moderately Efficient
2025-05,May,aws-stage1-useast2,core1,staging,sam-processing2,57.53,325,42.76,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-bigdata1,69.34,11,96.49,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-bigdata2,66.94,20,95.27,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-bigdata3,40.47,8,113.56,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-highscale-processing1,55.91,22,67.71,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-processing-sc1,25.75,313,46.65,Inefficient
2025-05,May,dev1-uswest2,core002,dev,sam-processing00001,76.78,5183,83.3,Moderately Efficient
2025-05,May,dev1-uswest2,core002,dev,sam-processing00002,24.6,364,52.99,Inefficient
2025-05,May,perf1-useast2,core1,perf,sam-bigdata1,27.16,47,49.55,Inefficient
2025-05,May,perf1-useast2,core1,perf,sam-processing-sc1,59.67,201,56.85,Inefficient
2025-05,May,perf1-useast2,core1,perf,sam-processing1,58.42,10803,54.39,Inefficient
2025-05,May,perf1-useast2,core1,perf,sam-processing2,63.06,227,52.5,Inefficient
2025-05,May,perf1-useast2,core1,perf,sam-processing3,56.45,235,64.8,Inefficient
2025-05,May,test1-uswest2,core3,test,sam-processing-sc1,68.63,223,67.74,Inefficient
2025-05,May,test1-uswest2,core3,test,sam-processing00001,69.84,4156,76.49,Inefficient
2025-05,May,test1-uswest2,core4,test,sam-bigdata1,23.94,16,46.63,Inefficient
2025-05,May,test1-uswest2,core4,test,sam-bigdata2,23.5,17,46.0,Inefficient
2025-05,May,test1-uswest2,core4,test,sam-bigdata3,32.11,11,106.31,Inefficient
2025-05,May,test1-uswest2,core4,test,sam-processing-sc1,75.75,672,46.95,Moderately Efficient
2025-05,May,test1-uswest2,core4,test,sam-processing1,84.74,6869,83.41,Moderately Efficient
2025-05,May,test1-uswest2,core4,test,sam-processing2,77.04,231,92.7,Moderately Efficient
2025-05,May,test1-uswest2,core4,test,sam-processing3,71.15,3896,43.0,Moderately Efficient
2025-06,June,aws-prod0-uswest2,core1,prod,sam-processing1,75.0,1418,54.03,Moderately Efficient
2025-06,June,aws-prod1-useast1,core1,prod,sam-processing1,81.72,6350,57.43,Efficient
2025-06,June,aws-prod1-useast1,core1,prod,sam-processing2,76.17,1992,33.6,Moderately Efficient
2025-06,June,aws-prod10-apsoutheast1,core1,prod,sam-processing1,72.15,396,64.04,Moderately Efficient
2025-06,June,aws-prod11-saeast1,core1,prod,sam-processing1,80.05,1698,54.93,Efficient
2025-06,June,aws-prod12-euwest3,core1,prod,sam-processing1,80.54,3537,48.26,Efficient
2025-06,June,aws-prod13-euwest2,core1,prod,sam-processing1,81.61,3176,52.32,Efficient
2025-06,June,aws-prod13-euwest2,core1,prod,sam-processing2,51.28,240,32.03,Moderately Efficient
2025-06,June,aws-prod14-apnortheast2,core1,prod,sam-processing1,66.54,506,63.46,Moderately Efficient
2025-06,June,aws-prod15-eucentral2,core1,prod,sam-processing1,68.09,1095,60.17,Moderately Efficient
2025-06,June,aws-prod16-eunorth1,core1,prod,sam-processing1,82.81,3981,50.53,Efficient
2025-06,June,aws-prod16-eunorth1,core1,prod,sam-processing2,36.35,217,29.55,Inefficient
2025-06,June,aws-prod17-apsoutheast3,core1,prod,sam-processing1,64.62,444,67.11,Moderately Efficient
2025-06,June,aws-prod18-mecentral1,core1,prod,sam-processing1,67.45,280,72.88,Moderately Efficient
2025-06,June,aws-prod19-eusouth1,core1,prod,sam-processing1,80.16,2132,52.07,Efficient
2025-06,June,aws-prod2-apsouth1,core1,prod,sam-processing1,78.27,3518,61.37,Moderately Efficient
2025-06,June,aws-prod2-apsouth1,core1,prod,sam-processing2,69.34,5284,33.27,Moderately Efficient
2025-06,June,aws-prod20-ilcentral1,core1,prod,sam-processing1,76.55,72,75.04,Moderately Efficient
2025-06,June,aws-prod21-useast2,core1,prod,sam-processing1,81.92,5807,53.84,Efficient
2025-06,June,aws-prod21-useast2,core1,prod,sam-processing2,72.54,3873,31.61,Moderately Efficient
2025-06,June,aws-prod22-apnortheast3,core1,prod,sam-processing-sc1,43.48,180,34.19,Inefficient
2025-06,June,aws-prod22-apnortheast3,core1,prod,sam-processing-sc2,41.15,118,34.54,Inefficient
2025-06,June,aws-prod22-apnortheast3,core1,prod,sam-processing-sc3,38.04,131,33.31,Inefficient
2025-06,June,aws-prod22-apnortheast3,core1,prod,sam-processing-sc5,39.64,145,33.69,Inefficient
2025-06,June,aws-prod22-apnortheast3,core1,prod,sam-processing1,82.63,61,103.16,Efficient
2025-06,June,aws-prod24-apsouth2,core1,prod,sam-processing-sc1,43.19,242,40.37,Inefficient
2025-06,June,aws-prod24-apsouth2,core1,prod,sam-processing-sc3,37.35,108,39.21,Inefficient
2025-06,June,aws-prod24-apsouth2,core1,prod,sam-processing1,82.53,68,663.15,Efficient
2025-06,June,aws-prod3-eucentral1,core1,prod,sam-processing1,80.97,4483,50.06,Efficient
2025-06,June,aws-prod3-eucentral1,core1,prod,sam-processing2,45.9,755,29.8,Inefficient
2025-06,June,aws-prod4-apsoutheast2,core1,prod,sam-processing1,84.19,2140,54.51,Efficient
2025-06,June,aws-prod8-cacentral1,core1,prod,sam-processing1,82.06,1772,54.71,Efficient
2025-06,June,aws-prod9-apnortheast1,core1,prod,sam-processing1,83.8,2883,47.2,Efficient
2025-06,June,aws-stage1-useast2,core1,staging,sam-processing-sc1,21.56,337,39.51,Inefficient
2025-06,June,aws-stage1-useast2,core1,staging,sam-processing1,72.06,395,181.56,Moderately Efficient
2025-06,June,aws-stage1-useast2,core1,staging,sam-processing2,22.2,184,45.31,Inefficient
2025-06,June,dev1-uswest2,core002,dev,sam-bigdata1,67.13,88,99.58,Inefficient
2025-06,June,dev1-uswest2,core002,dev,sam-bigdata2,63.1,85,95.37,Inefficient
2025-06,June,dev1-uswest2,core002,dev,sam-bigdata3,37.0,42,107.85,Inefficient
2025-06,June,dev1-uswest2,core002,dev,sam-processing-sc1,39.81,391,59.67,Inefficient
2025-06,June,dev1-uswest2,core002,dev,sam-processing00001,71.7,3234,92.42,Moderately Efficient
2025-06,June,dev1-uswest2,core002,dev,sam-processing00002,28.74,486,60.93,Inefficient
2025-06,June,perf1-useast2,core1,perf,sam-bigdata1,27.17,77,49.42,Inefficient
2025-06,June,perf1-useast2,core1,perf,sam-processing-sc1,54.06,250,66.97,Inefficient
2025-06,June,perf1-useast2,core1,perf,sam-processing1,58.84,9618,63.02,Inefficient
2025-06,June,perf1-useast2,core1,perf,sam-processing2,51.05,253,68.48,Inefficient
2025-06,June,perf1-useast2,core1,perf,sam-processing3,53.91,252,67.79,Inefficient
2025-06,June,test1-uswest2,core3,test,sam-processing-sc1,74.33,266,63.12,Moderately Efficient
2025-06,June,test1-uswest2,core3,test,sam-processing00001,71.16,5208,76.18,Moderately Efficient
2025-06,June,test1-uswest2,core4,test,sam-processing-sc1,63.15,512,47.67,Inefficient
2025-06,June,test1-uswest2,core4,test,sam-processing1,78.04,4831,107.37,Moderately Efficient
2025-06,June,test1-uswest2,core4,test,sam-processing2,71.28,253,90.5,Moderately Efficient
2025-06,June,test1-uswest2,core4,test,sam-processing3,72.95,4134,43.71,Moderately Efficient
2025-07,July,aws-prod0-uswest2,core1,prod,sam-processing-sc1,10.32,102,38.99,Inefficient
2025-07,July,aws-prod0-uswest2,core1,prod,sam-processing1,74.04,1211,63.19,Moderately Efficient
2025-07,July,aws-prod1-useast1,core1,prod,sam-highscale-processing1,7.83,37,48.12,Inefficient
2025-07,July,aws-prod1-useast1,core1,prod,sam-processing1,79.97,8573,55.93,Moderately Efficient
2025-07,July,aws-prod1-useast1,core1,prod,sam-processing2,72.56,4142,36.8,Moderately Efficient
2025-07,July,aws-prod10-apsoutheast1,core1,prod,sam-processing1,58.41,1197,56.89,Moderately Efficient
2025-07,July,aws-prod11-saeast1,core1,prod,sam-processing1,78.92,2393,57.23,Moderately Efficient
2025-07,July,aws-prod12-euwest3,core1,prod,sam-processing1,79.12,4910,49.58,Moderately Efficient
2025-07,July,aws-prod13-euwest2,core1,prod,sam-processing1,79.27,5191,52.82,Moderately Efficient
2025-07,July,aws-prod13-euwest2,core1,prod,sam-processing2,37.66,1158,31.26,Inefficient
2025-07,July,aws-prod14-apnortheast2,core1,prod,sam-processing1,57.29,770,55.69,Moderately Efficient
2025-07,July,aws-prod15-eucentral2,core1,prod,sam-processing1,69.72,1166,58.67,Moderately Efficient
2025-07,July,aws-prod16-eunorth1,core1,prod,sam-processing1,82.28,5564,50.54,Efficient
2025-07,July,aws-prod16-eunorth1,core1,prod,sam-processing2,36.44,596,31.38,Inefficient
2025-07,July,aws-prod17-apsoutheast3,core1,prod,sam-processing1,61.71,601,68.89,Moderately Efficient
2025-07,July,aws-prod18-mecentral1,core1,prod,sam-processing1,54.16,851,71.6,Moderately Efficient
2025-07,July,aws-prod19-eusouth1,core1,prod,sam-processing1,77.91,2785,52.98,Moderately Efficient
2025-07,July,aws-prod2-apsouth1,core1,prod,sam-processing1,75.81,4872,63.79,Moderately Efficient
2025-07,July,aws-prod2-apsouth1,core1,prod,sam-processing2,63.46,6328,34.01,Moderately Efficient
2025-07,July,aws-prod20-ilcentral1,core1,prod,sam-processing1,73.72,184,74.66,Moderately Efficient
2025-07,July,aws-prod21-useast2,core1,prod,sam-highscale-processing1,7.83,31,46.13,Inefficient
2025-07,July,aws-prod21-useast2,core1,prod,sam-processing1,75.4,9016,49.36,Moderately Efficient
2025-07,July,aws-prod21-useast2,core1,prod,sam-processing2,68.53,6103,34.67,Moderately Efficient
2025-07,July,aws-prod22-apnortheast3,core1,prod,sam-processing-sc1,48.73,1497,31.17,Inefficient
2025-07,July,aws-prod22-apnortheast3,core1,prod,sam-processing-sc2,46.72,1091,31.6,Inefficient
2025-07,July,aws-prod22-apnortheast3,core1,prod,sam-processing-sc3,40.77,874,33.1,Inefficient
2025-07,July,aws-prod22-apnortheast3,core1,prod,sam-processing-sc5,43.72,562,33.73,Inefficient
2025-07,July,aws-prod22-apnortheast3,core1,prod,sam-processing1,83.68,121,108.4,Efficient
2025-07,July,aws-prod24-apsouth2,core1,prod,sam-processing-sc1,45.9,613,37.63,Inefficient
2025-07,July,aws-prod24-apsouth2,core1,prod,sam-processing-sc3,37.53,510,37.92,Inefficient
2025-07,July,aws-prod24-apsouth2,core1,prod,sam-processing1,73.31,74,93.04,Moderately Efficient
2025-07,July,aws-prod3-eucentral1,core1,prod,sam-hs-processing1,8.6,13,49.21,Inefficient
2025-07,July,aws-prod3-eucentral1,core1,prod,sam-processing1,80.2,5951,48.61,Efficient
2025-07,July,aws-prod3-eucentral1,core1,prod,sam-processing2,44.68,1348,31.63,Inefficient
2025-07,July,aws-prod4-apsoutheast2,core1,prod,sam-processing1,81.2,4161,51.53,Efficient
2025-07,July,aws-prod8-cacentral1,core1,prod,sam-processing1,78.82,2661,52.18,Moderately Efficient
2025-07,July,aws-prod9-apnortheast1,core1,prod,sam-processing1,80.8,3229,50.19,Efficient
2025-07,July,aws-stage1-useast2,core1,staging,sam-highscale-processing1,68.14,233,51.46,Inefficient
2025-07,July,aws-stage1-useast2,core1,staging,sam-processing-sc1,56.7,233,62.51,Inefficient
2025-07,July,aws-stage1-useast2,core1,staging,sam-processing1,66.66,325,78.12,Inefficient
2025-07,July,aws-stage1-useast2,core1,staging,sam-processing2,42.3,327,43.56,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata1,63.15,55,95.09,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata2,60.47,74,90.18,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata3,37.29,37,109.82,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata4,58.52,20,97.88,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata5,56.05,15,96.54,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-bigdata6,29.25,4,88.29,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-highscale-processing1,60.32,304,57.28,Inefficient
2025-07,July,dev1-uswest2,core002,dev,sam-processing-sc1,73.54,320,74.74,Moderately Efficient
2025-07,July,dev1-uswest2,core002,dev,sam-processing00001,78.4,6271,89.61,Moderately Efficient
2025-07,July,dev1-uswest2,core002,dev,sam-processing00002,17.82,331,43.86,Inefficient
2025-07,July,perf1-useast2,core1,perf,sam-bigdata1,24.52,49,47.56,Inefficient
2025-07,July,perf1-useast2,core1,perf,sam-processing-sc1,70.82,277,54.35,Moderately Efficient
2025-07,July,perf1-useast2,core1,perf,sam-processing1,72.46,3607,58.41,Moderately Efficient
2025-07,July,perf1-useast2,core1,perf,sam-processing2,59.57,225,63.62,Inefficient
2025-07,July,perf1-useast2,core1,perf,sam-processing3,55.16,225,65.68,Inefficient
2025-07,July,test1-uswest2,core3,test,sam-highscale-processing1,55.74,256,44.26,Inefficient
2025-07,July,test1-uswest2,core3,test,sam-processing-sc1,74.99,320,59.02,Moderately Efficient
2025-07,July,test1-uswest2,core3,test,sam-processing00001,80.21,8933,84.93,Moderately Efficient
2025-07,July,test1-uswest2,core4,test,sam-bigdata1,48.53,89,75.25,Inefficient
2025-07,July,test1-uswest2,core4,test,sam-bigdata2,42.15,95,61.26,Inefficient
2025-07,July,test1-uswest2,core4,test,sam-bigdata3,28.21,38,87.94,Inefficient
2025-07,July,test1-uswest2,core4,test,sam-processing-sc1,77.84,648,42.77,Moderately Efficient
2025-07,July,test1-uswest2,core4,test,sam-processing1,82.94,9838,102.77,Moderately Efficient
2025-07,July,test1-uswest2,core4,test,sam-processing2,76.93,243,95.91,Moderately Efficient
2025-07,July,test1-uswest2,core4,test,sam-processing3,87.44,3083,46.97,Moderately Efficient
2025-08,August,aws-prod0-uswest2,core1,prod,sam-processing-sc1,27.6,270,45.78,Inefficient
2025-08,August,aws-prod0-uswest2,core1,prod,sam-processing1,61.37,671,52.59,Moderately Efficient
2025-08,August,aws-prod1-useast1,core1,prod,sam-highscale-processing1,18.25,33,46.99,Inefficient
2025-08,August,aws-prod1-useast1,core1,prod,sam-processing1,79.88,7875,52.24,Moderately Efficient
2025-08,August,aws-prod1-useast1,core1,prod,sam-processing2,75.0,3451,37.41,Moderately Efficient
2025-08,August,aws-prod10-apsoutheast1,core1,prod,sam-processing1,68.54,580,63.62,Moderately Efficient
2025-08,August,aws-prod11-saeast1,core1,prod,sam-processing1,78.63,2465,57.37,Moderately Efficient
2025-08,August,aws-prod12-euwest3,core1,prod,sam-processing1,79.78,4715,52.19,Moderately Efficient
2025-08,August,aws-prod13-euwest2,core1,prod,sam-processing1,80.42,4428,50.69,Efficient
2025-08,August,aws-prod13-euwest2,core1,prod,sam-processing2,39.76,861,30.83,Inefficient
2025-08,August,aws-prod14-apnortheast2,core1,prod,sam-processing1,58.75,567,55.64,Moderately Efficient
2025-08,August,aws-prod15-eucentral2,core1,prod,sam-processing1,73.22,1139,62.84,Moderately Efficient
2025-08,August,aws-prod16-eunorth1,core1,prod,sam-processing1,82.68,5334,49.73,Efficient
2025-08,August,aws-prod16-eunorth1,core1,prod,sam-processing2,35.58,521,32.99,Inefficient
2025-08,August,aws-prod17-apsoutheast3,core1,prod,sam-processing1,54.76,344,64.24,Moderately Efficient
2025-08,August,aws-prod18-mecentral1,core1,prod,sam-processing1,63.02,290,71.29,Moderately Efficient
2025-08,August,aws-prod19-eusouth1,core1,prod,sam-processing1,76.91,2675,54.47,Moderately Efficient
2025-08,August,aws-prod2-apsouth1,core1,prod,sam-processing1,77.33,4387,63.1,Moderately Efficient
2025-08,August,aws-prod2-apsouth1,core1,prod,sam-processing2,69.58,5293,34.25,Moderately Efficient
2025-08,August,aws-prod20-ilcentral1,core1,prod,sam-processing1,70.49,324,70.81,Moderately Efficient
2025-08,August,aws-prod21-useast2,core1,prod,sam-highscale-processing1,22.61,29,43.8,Inefficient
2025-08,August,aws-prod21-useast2,core1,prod,sam-processing1,77.61,8410,51.57,Moderately Efficient
2025-08,August,aws-prod21-useast2,core1,prod,sam-processing2,71.44,5841,35.84,Moderately Efficient
2025-08,August,aws-prod22-apnortheast3,core1,prod,sam-processing-sc1,49.76,1652,34.62,Inefficient
2025-08,August,aws-prod22-apnortheast3,core1,prod,sam-processing-sc2,53.83,1158,35.6,Moderately Efficient
2025-08,August,aws-prod22-apnortheast3,core1,prod,sam-processing-sc3,50.31,1084,36.26,Moderately Efficient
2025-08,August,aws-prod22-apnortheast3,core1,prod,sam-processing-sc5,56.76,561,38.71,Moderately Efficient
2025-08,August,aws-prod22-apnortheast3,core1,prod,sam-processing1,83.94,159,114.33,Efficient
2025-08,August,aws-prod24-apsouth2,core1,prod,sam-processing-sc1,61.53,967,37.86,Moderately Efficient
2025-08,August,aws-prod24-apsouth2,core1,prod,sam-processing-sc3,51.23,986,36.58,Moderately Efficient
2025-08,August,aws-prod24-apsouth2,core1,prod,sam-processing-sc4,32.5,25,76.74,Inefficient
2025-08,August,aws-prod24-apsouth2,core1,prod,sam-processing1,75.73,115,96.77,Moderately Efficient
2025-08,August,aws-prod3-eucentral1,core1,prod,sam-hs-processing1,14.06,17,45.91,Inefficient
2025-08,August,aws-prod3-eucentral1,core1,prod,sam-processing1,81.22,5506,49.84,Efficient
2025-08,August,aws-prod3-eucentral1,core1,prod,sam-processing2,46.53,1137,32.59,Inefficient
2025-08,August,aws-prod4-apsoutheast2,core1,prod,sam-processing1,81.47,3635,50.89,Efficient
2025-08,August,aws-prod8-cacentral1,core1,prod,sam-processing1,78.63,2766,51.73,Moderately Efficient
2025-08,August,aws-prod9-apnortheast1,core1,prod,sam-processing1,79.83,3122,48.8,Moderately Efficient
2025-08,August,aws-stage1-useast2,core1,staging,sam-highscale-processing1,64.72,235,51.82,Inefficient
2025-08,August,aws-stage1-useast2,core1,staging,sam-processing-sc1,57.64,227,55.04,Inefficient
2025-08,August,aws-stage1-useast2,core1,staging,sam-processing1,52.7,401,69.93,Inefficient
2025-08,August,aws-stage1-useast2,core1,staging,sam-processing2,65.74,394,40.53,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata1,71.82,33,105.68,Moderately Efficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata2,65.11,20,91.5,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata3,45.31,12,116.19,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata4,64.09,14,89.81,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata5,61.88,12,85.32,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-bigdata6,40.46,7,135.56,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-highscale-processing1,67.0,329,53.31,Inefficient
2025-08,August,dev1-uswest2,core002,dev,sam-processing-sc1,69.99,424,57.92,Inefficient
